unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"0E082196-ADC3-5C09-E063-4704A8C0A10E","410000","2023-12-01","EC2Y 8PQ","F","N","L","FLAT 93","BRETON HOUSE","BARBICAN","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0E082196-ADC3-5C09-E063-4704A8C0A10E/current"
"0B85394F-8AF6-69A5-E063-4704A8C07DAC","1100000","2023-08-30","EC2Y 9AP","F","N","L","FLAT 1102","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0B85394F-8AF6-69A5-E063-4704A8C07DAC/current"
"09266DDC-4C5D-AF90-E063-4704A8C02087","535000","2023-09-19","EC2Y 9AP","F","N","L","FLAT 1110","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDC-4C5D-AF90-E063-4704A8C02087/current"
"06C9F487-17B9-9388-E063-4804A8C0BD98","535000","2023-08-28","EC2Y 9AP","F","N","L","FLAT 1210","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-17B9-9388-E063-4804A8C0BD98/current"
"09266DDC-4C5B-AF90-E063-4704A8C02087","550000","2023-09-15","EC2Y 9AP","F","N","L","FLAT 1410","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/09266DDC-4C5B-AF90-E063-4704A8C02087/current"
"01EB45F0-74E7-40F3-E063-4704A8C05FDE","785000","2023-05-26","EC2Y 9AP","F","N","L","FLAT 908","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/01EB45F0-74E7-40F3-E063-4704A8C05FDE/current"
"1061746D-9D0D-3C34-E063-4804A8C0F9E7","1128000","2023-12-21","EC2Y 9AZ","F","N","L","FLAT 1801","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-9D0D-3C34-E063-4804A8C0F9E7/current"
"0E082197-608B-5C09-E063-4704A8C0A10E","525000","2023-03-01","EC2Y 9AZ","F","N","L","FLAT 2004","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-608B-5C09-E063-4704A8C0A10E/current"
"1061746D-9D12-3C34-E063-4804A8C0F9E7","670000","2023-12-07","EC2Y 9BA","F","N","L","FLAT 2205","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1061746D-9D12-3C34-E063-4804A8C0F9E7/current"
"1775CCF7-D46E-38BA-E063-4704A8C05A7C","700000","2023-12-12","EC2Y 9BA","F","N","L","FLAT 2208","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-D46E-38BA-E063-4704A8C05A7C/current"
"FD226035-791D-4CB7-E053-4804A8C00430","830000","2023-04-11","EC2Y 9BB","F","N","L","FLAT 3007","5","MOOR LANE","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-791D-4CB7-E053-4804A8C00430/current"
"1775CCF6-DCB5-38BA-E063-4704A8C05A7C","1300800","2023-07-27","EC3A 7AB","F","Y","L","APARTMENT 2902","80","HOUNDSDITCH","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-DCB5-38BA-E063-4704A8C05A7C/current"
